trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.55, 'e': 0.22992548518672384}",20,16,8.148752522455835,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.55, 'e': 0.22763768838381274}",25,5,-164.72486870385742,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",1
149,False,"{'a': 0.55, 'e': 0.22537265553943872}",30,6,-109.95381732772636,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 1}",1
150,False,"{'a': 0.55, 'e': 0.22313016014842982}",30,9,-68.83801089168165,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 0}",1
151,False,"{'a': 0.55, 'e': 0.2209099779593782}",20,10,-45.35532290986117,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.55, 'e': 0.21871188695221475}",20,8,-80.44830222435542,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
153,False,"{'a': 0.55, 'e': 0.21653566731600707}",20,14,-2.875882887557993,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.55, 'e': 0.21438110142697794}",25,4,-132.92147942011226,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 2}",1
155,False,"{'a': 0.55, 'e': 0.21224797382674304}",25,0,-186.6211122704393,"{0: 14, 1: 1, 2: 4, 3: 4, 4: 2}",0
156,False,"{'a': 0.55, 'e': 0.21013607120076472}",30,0,-211.73991424452385,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
157,False,"{'a': 0.55, 'e': 0.20804518235702046}",25,0,-106.1280285147651,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
158,False,"{'a': 0.55, 'e': 0.20597509820488344}",20,0,-105.46973530342268,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
159,False,"{'a': 0.55, 'e': 0.20392561173421342}",20,0,-122.73326237680645,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
160,False,"{'a': 0.55, 'e': 0.20189651799465538}",20,5,-66.65678731378543,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 0}",1
161,False,"{'a': 0.55, 'e': 0.1998876140751445}",25,19,10.600211801071646,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.55, 'e': 0.19789869908361465}",20,7,20.017435046725705,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.55, 'e': 0.19592957412690934}",25,17,-69.9869130986822,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
164,False,"{'a': 0.55, 'e': 0.19398004229089189}",20,3,-32.123695433310026,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
